,ccdVisitId,visitID,ra,decl,llcra,llcdec,ulcra,ulcdec,urcra,urcdec,lrcra,lrcdec
122,221579122,221579,55.0925619,-43.7753077,54.9488592,-43.8952578,54.9292232,-43.6696849,55.235685,-43.6551519,55.2564058,-43.8806443
123,221579123,221579,55.4608834,-44.2268279,55.3168724,-44.3470853,55.2959016,-44.1219369,55.6043089,-44.1063543,55.6263455,-44.3314072
124,221579124,221579,55.4390797,-43.9930984,55.2956264,-44.1134379,55.274671,-43.8881076,55.5819503,-43.8725517,55.6039774,-44.0977831
125,221579125,221579,55.416948,-43.759443,55.2740033,-43.8798226,55.2531531,-43.6543396,55.5593039,-43.638864,55.5812428,-43.8642562
126,221579126,221579,54.7481225,-43.5542841,54.6041274,-43.673789,54.5859533,-43.4480034,54.8915462,-43.4345759,54.9108048,-43.6602911
127,221579127,221579,54.7287325,-43.3200373,54.585318,-43.4396086,54.5671241,-43.2137279,54.871588,-43.2002733,54.8908577,-43.4260852
128,221579128,221579,54.7093457,-43.0861036,54.5663967,-43.2056574,54.5483943,-42.9797031,54.8517228,-42.9663634,54.8708234,-43.1922531
129,221579129,221579,55.0718345,-43.5395665,54.928541,-43.6594845,54.9091972,-43.4337711,55.2145492,-43.4194527,55.2349625,-43.6450814
130,221579130,221579,55.0508977,-43.305321,54.9081543,-43.4252801,54.8888574,-43.1994679,55.1930709,-43.1851791,55.2134507,-43.4109081
131,221579131,221579,55.0302084,-43.0712662,54.8879165,-43.1911916,54.8688278,-42.965304,55.171931,-42.9511657,55.1920945,-43.1769725
132,221579132,221579,55.3947286,-43.5241748,55.2522283,-43.6445388,55.2316075,-43.4189198,55.5366435,-43.4036227,55.5583448,-43.6291501
133,221579133,221579,55.3727306,-43.2897838,55.2306484,-43.4101042,55.2102911,-43.1843774,55.5142226,-43.169285,55.5356611,-43.3949207
134,221579134,221579,55.3509461,-43.0556127,55.2094376,-43.1759705,55.189071,-42.9501769,55.491869,-42.935088,55.5133246,-43.1607892
135,221579135,221579,54.6898955,-42.850097,54.5475087,-42.9696759,54.5295231,-42.7436781,54.8317105,-42.7303416,54.8507872,-42.9562727
136,221579136,221579,54.6711479,-42.6156776,54.5292706,-42.7352387,54.5113977,-42.5092282,54.8124498,-42.4959488,54.8314254,-42.7218963
137,221579137,221579,54.6520693,-42.3813291,54.5106942,-42.5008526,54.4929474,-42.2748518,54.7928765,-42.2616519,54.8117164,-42.4875841
138,221579138,221579,55.0094247,-42.8356675,54.8676974,-42.9556177,54.8486168,-42.7296892,55.1505762,-42.7155534,55.1707446,-42.9413988
139,221579139,221579,54.9892422,-42.6012641,54.8480497,-42.7212032,54.829023,-42.4952601,55.1298528,-42.4811656,55.1499632,-42.7070245
