ObjID,H_r
2016 RM82,7.00334
2015 XO480,8.59133
2016 SU56,7.85889
2006 SG415,7.63609
2016 PM220,7.86855
2016 PT220,7.36472
2016 PN220,7.3477
2016 PO220,6.95527
2014 LQ28,5.90835
2016 PP220,6.99889
2016 QF135,7.06044
2016 QW134,8.01798
2016 QE135,7.58067
2016 QX134,6.74823
2016 QY134,7.4161
2016 QZ134,7.70279
2016 QA135,6.93407
2016 QB135,8.11231
2016 QC135,7.27997
2016 QD135,7.03589
2016 RN82,8.11878
2016 RX82,7.56123
2016 RO82,6.67075
2016 RP82,7.45463
2016 RQ82,7.21495
2003 QO91,7.19501
1999 RK215,7.57018
2016 RR82,6.9512
2000 QC226,6.89743
2016 RS82,6.95583
2016 RT82,7.33862
2016 SZ105,7.21992
2017 SE279,7.67825
2004 QE29,7.43773
2016 TM176,7.50716
2017 RZ137,7.83472
