ObjID,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB,FORMAT
2006 QQ180,34.84666,0.174772,9.3773688,145.605574,153.11531,38163.37041035788,57388.00078916584,BCOM
2013 SN112,41.35535,0.0430744,12.7217393,77.708499,250.39377,39960.60990632046,57388.00078916584,BCOM
2012 TC324,33.94129,0.1970239,9.6309869,131.832008,259.28988,57397.036339168866,57388.00078916584,BCOM
2013 TM159,38.66508,0.167908,9.5426803,107.958949,294.33467,60465.15543075037,57388.00078916584,BCOM
2013 SP102,33.33596,0.1529885,11.5998525,146.68723,75.54855,16787.88436248329,57388.00078916584,BCOM
2013 SQ102,35.16402,0.6164166,29.5483851,14.306275,357.67082,71420.7745907508,57388.00078916584,BCOM
2013 SR102,32.59199,0.3836212,29.9205587,41.443942,9.71227,80512.74428075897,57388.00078916584,BCOM
2013 SO112,34.67534,0.315355,24.4968158,177.174773,63.84042,32618.502422517562,57388.00078916584,BCOM
2013 SP112,40.3757,0.2185799,38.6681899,180.232181,125.3954,44852.42279396452,57388.00078916584,BCOM
2013 SQ112,38.19402,0.1053799,22.4706565,180.904829,151.08085,52501.52238285823,57388.00078916584,BCOM
2013 SR112,44.62741,0.0352134,24.0687636,178.841397,100.73059,35147.39176251159,57388.00078916584,BCOM
2013 SS112,37.08888,0.0733801,14.7426652,185.459152,254.76198,78517.42971072471,57388.00078916584,BCOM
2013 ST112,41.62482,0.0449597,4.5169541,323.35779,26.26976,54228.59293446039,57388.00078916584,BCOM
2013 SU112,31.20969,0.205474,2.3935925,235.331744,2.15764,32043.640102488233,57388.00078916584,BCOM
2013 SV112,36.98381,0.1576785,32.3721999,181.024152,153.06349,51512.40286285926,57388.00078916584,BCOM
2013 SW112,39.79848,0.0915471,0.6871973,297.509827,346.0423,36680.540092518284,57388.00078916584,BCOM
